latitude	longitude	depth	time	chl	fe	no3	nppv	o2	ph	phyc	po4	si	spco2	query_id
-29.5	38.0	61.11284	2010-07-01	0.22983818	0.00034102687	0.04304792	7.2310724	219.60822	8.102287	1.130492	0.024941988	2.014309	32.99103	TARA_064_d65
-35.25	26.25	30.87456	2010-07-01	1.0378407	0.00043584182	1.3240114	23.808443	218.3964	8.091724	3.3447287	0.13524176	2.0274498	33.91477	TARA_065_d30
-35.25	26.25	5.140361	2010-07-01	1.1968174	0.0004341066	1.224789	35.172348	219.85718	8.094072	3.8966672	0.12622505	1.975863	33.91477	TARA_065_d5
-35.25	26.25	856.679	2010-07-01	0.0030570673	0.0006272731	29.005796	0.0	175.7879	7.87257	0.01325241	2.0552566	41.73324	33.91477	TARA_065_d850
-35.0	18.0	30.87456	2010-07-01	0.54644275	0.00019947012	3.4716678	11.524026	241.89792	8.110123	1.8216276	0.33514825	2.512438	32.53551	TARA_066_d30
-35.0	18.0	5.140361	2010-07-01	0.54951715	0.00019893763	3.4601636	11.500341	242.1585	8.111068	1.8347284	0.3342976	2.5062113	32.53551	TARA_066_d5
-32.25	17.25	5.140361	2010-09-01	0.58055425	0.00094009517	0.03964126	15.547552	255.99544	8.139898	3.595174	0.13823631	1.2246249	29.79875	TARA_067_d5
-31.0	4.5	5.140361	2010-09-01	0.16259699	9.501701e-06	2.5100138	2.694713	249.15456	8.092127	1.1810383	0.31520906	1.9590908	34.731377	TARA_068_d5
-31.0	4.5	47.21189	2010-09-01	0.16065854	9.430505e-06	2.511478	2.3142757	249.0151	8.09101	1.1403347	0.31532055	1.9587985	34.731377	TARA_068_d50
-31.0	4.5	697.2587	2010-09-01	0.0041104876	0.0006014586	25.934757	0.0	210.25316	7.9234576	0.014768119	1.826575	28.377466	34.731377	TARA_068_d700
-20.25	-3.5	5.140361	2010-10-01	0.14617917	0.00032475992	0.009266862	4.4423356	232.8354	8.078604	1.0820304	0.37342203	1.114155	36.12383	TARA_070_d5
-20.25	-3.5	773.3683	2010-10-01	0.0027900632	0.0006374173	34.00007	0.0	167.50385	7.83089	0.012787772	2.278315	33.884346	36.12383	TARA_070_d800
-9.25	-9.75	5.140361	2010-10-01	0.063718095	0.00014251315	0.0008513315	0.7237468	213.21092	8.07156	0.9285931	0.024739653	1.3679575	36.38204	TARA_071_d5
-8.75	-18.0	97.04131	2010-10-01	0.27691165	5.261943e-05	2.0489192	1.5494231	210.90767	8.047659	0.7429149	0.20163484	1.5889406	37.649715	TARA_072_d100
-8.75	-18.0	5.140361	2010-10-01	0.18062261	6.130643e-05	0.013494416	7.0966616	212.50496	8.059105	1.3151661	0.04371226	1.2758615	37.649715	TARA_072_d5
-8.75	-18.0	773.3683	2010-10-01	0.0027900813	0.00063989905	35.41081	0.0	142.37614	7.7919593	0.012787929	2.3249435	30.770742	37.649715	TARA_072_d800
-21.0	-35.25	147.4062	2010-10-01	0.17460023	5.3126485e-05	0.049685184	0.7320718	227.75098	8.06574	0.6720725	0.16597618	1.5651189	37.977715	TARA_076_d150
-21.0	-35.25	5.140361	2010-10-01	0.059196554	0.00016018475	0.0012341221	0.5573367	215.91446	8.065798	0.91099906	0.11008451	1.5601684	37.977715	TARA_076_d5
-21.0	-35.25	773.3683	2010-10-01	0.0028102566	0.0006338626	30.963598	0.0	196.0191	7.877113	0.012802099	2.1293006	36.173557	37.977715	TARA_076_d800
-30.25	-43.25	120.0	2010-11-01	0.098471865	0.00015105463	3.1524594	0.092824265	218.87746	8.079974	0.26400012	0.29491204	1.6976832	34.916607	TARA_078_d120
-30.25	-43.25	5.140361	2010-11-01	0.21170524	2.0089288e-05	0.30044323	7.7674894	235.06042	8.093311	1.71237	0.09509982	1.238926	34.916607	TARA_078_d5
-30.25	-43.25	773.3683	2010-11-01	0.0036650735	0.00062248536	26.128521	0.0	218.6712	7.9230237	0.013724792	1.8229495	24.27342	34.916607	TARA_078_d800
-40.75	-52.0	5.140361	2010-12-01	0.75594646	0.00021409555	1.9598509	36.82646	240.61423	8.081683	4.13641	0.2790518	1.6209762	35.907616	TARA_080_d5
-40.75	-52.0	86.92943	2010-12-01	0.1304482	0.0005823142	8.834937	0.16041131	226.06525	8.035714	0.35585088	0.7285046	6.879682	35.907616	TARA_080_d85
-44.5	-52.25	35.7402	2010-12-01	0.3248493	7.124509e-05	12.27845	5.435225	275.91907	8.053775	1.60539	1.0335484	8.125544	39.146095	TARA_081_d35
-44.5	-52.25	5.140361	2010-12-01	0.31758267	6.9933296e-05	11.732206	12.053002	269.00873	8.047184	2.1846251	0.9972234	7.523243	39.146095	TARA_081_d5
-47.25	-58.0	30.87456	2010-12-01	0.3051354	6.996492e-05	17.655905	6.1525707	296.1961	8.036967	1.9242039	1.3713578	13.7193775	40.0905	TARA_082_d30
-47.25	-58.0	41.18002	2010-12-01	0.34251162	7.381086e-05	18.115582	3.853074	303.4849	8.042683	1.6482759	1.3947443	14.45092	40.0905	TARA_082_d40
-47.25	-58.0	5.140361	2010-12-01	0.3045206	6.9956e-05	17.652073	9.14443	294.95905	8.035305	2.1312463	1.3699017	13.675562	40.0905	TARA_082_d5
-54.5	-65.0	5.140361	2010-12-01	1.7537757	0.00089542125	16.533049	15.78828	312.6458	8.066601	6.1706862	1.3309487	12.114988	36.46687	TARA_083_d5
-60.5	-60.5	5.140361	2011-01-01	0.305374	7.152404e-05	23.633858	5.7826767	333.2802	8.033881	1.9407427	1.7371786	29.304186	39.71444	TARA_084_d5
-62.25	-49.5	5.140361	2011-01-01	0.4156469	9.888924e-05	24.844324	6.0516295	351.90543	8.038513	2.3402088	1.8393933	69.78855	39.07213	TARA_085_d5
-62.25	-49.5	773.3683	2011-01-01	0.0071758786	0.0006574061	32.373596	0.0	278.34543	7.9438767	0.021834636	2.2665758	111.882484	39.07213	TARA_085_d790
-62.25	-49.5	86.92943	2011-01-01	0.11128895	0.00053841533	30.972136	0.037244536	277.34274	7.9606786	0.2636559	2.1825027	93.094635	39.07213	TARA_085_d90
-64.25	-53.0	35.7402	2011-01-01	0.39487237	0.00011005596	26.855232	1.8335471	363.4122	8.043771	1.4198605	1.9684237	87.68083	38.957985	TARA_086_d35
-64.25	-53.0	5.140361	2011-01-01	0.3370795	7.8805744e-05	25.1075	5.246778	354.77023	8.039373	2.1049755	1.8753635	82.24574	38.957985	TARA_086_d5
-63.75	-56.25	5.140361	2011-02-01	1.4785962	0.00045340252	7.088244	24.173855	344.36313	8.174091	7.1458793	0.7585208	10.05057	26.695724	TARA_087_d5
-63.5	-56.75	5.140361	2011-02-01	1.583134	0.0019357431	6.020732	27.989552	344.91898	8.207032	7.6403427	0.68800044	8.96029	24.657845	TARA_088_d5
-57.75	-67.5	5.140361	2011-02-01	0.31322974	7.0088376e-05	22.565847	5.176027	323.35114	8.034479	1.75573	1.6689999	24.327625	39.72354	TARA_089_d5
-39.5	-77.0	5.140361	2011-03-01	0.26466498	4.3245604e-05	6.299218	9.460731	249.1108	8.043246	1.7843455	0.64022964	1.2313688	39.081158	TARA_090_d5
-34.25	-73.0	5.140361	2011-03-01	1.2181656	0.00022649305	5.108123	35.738266	255.47348	7.9590597	5.722819	1.4167584	1.7885247	49.15583	TARA_091_d5
-33.75	-72.0	9.82275	2011-03-01	3.5917857	0.00127487	17.48514	118.94811	185.50768	7.7569976	14.734509	2.0654886	13.9881315	76.75583	TARA_092_d9
-33.75	-72.5	35.7402	2011-03-01	0.40462196	0.00035692065	17.452261	1.4200039	151.9901	7.8145127	1.083752	1.6416072	8.10509	56.164993	TARA_093_d35
-33.75	-72.5	5.140361	2011-03-01	2.1499357	0.00061415613	9.108259	72.42366	255.55792	7.90452	9.774222	1.6127888	4.0020423	56.164993	TARA_093_d5
-32.75	-87.0	5.140361	2011-03-01	0.052468143	1.5566538e-05	0.0002824322	0.19088796	226.28963	8.001087	0.8875215	0.14671133	1.0685828	43.759727	TARA_094_d5
-31.5	-94.0	5.140361	2011-04-01	0.054716907	4.6423713e-05	0.00025935398	0.2077113	222.78113	8.024819	1.0056905	0.08468428	1.1248754	41.484684	TARA_095_d5
-29.75	-101.25	147.4062	2011-04-01	0.08416583	3.454078e-05	0.006014586	0.22438297	239.79845	8.0899935	0.5117143	0.07693142	1.1314174	41.57353	TARA_096_d155
-29.75	-101.25	5.140361	2011-04-01	0.056200143	4.8927574e-05	0.00026326557	0.27165458	218.1434	8.024025	1.031257	0.06204279	1.1544584	41.57353	TARA_096_d5
-28.25	-107.75	180.5499	2011-04-01	0.14549766	4.295216e-05	0.12676977	0.21591704	230.54967	8.097354	0.4879816	0.077315874	1.1435252	40.88778	TARA_097_d175
-28.25	-107.75	300.8875	2011-04-01	0.022101367	0.0001601403	5.841318	0.00086749037	217.31027	8.046167	0.055746708	0.5019452	1.9937198	40.88778	TARA_097_d310
-28.25	-107.75	5.140361	2011-04-01	0.05608574	4.9279603e-05	0.00026178928	0.3269986	214.33269	8.03205	1.0197759	0.052687537	1.1685237	40.88778	TARA_097_d5
-26.25	-111.0	180.5499	2011-04-01	0.15959573	4.2775086e-05	0.19526516	0.25847414	227.55745	8.091334	0.50677043	0.08181447	1.1440152	41.642284	TARA_098_d180
-26.25	-111.0	180.5499	2011-04-01	0.15959573	4.2775086e-05	0.19526516	0.25847414	227.55745	8.091334	0.50677043	0.08181447	1.1440152	41.642284	TARA_098_d188
-26.25	-111.0	508.6399	2011-04-01	0.0044619953	0.00038030004	21.011786	0.0	230.29279	7.939615	0.013900533	1.4772376	6.6040883	41.642284	TARA_098_d488
-26.25	-111.0	5.140361	2011-04-01	0.05337502	4.317873e-05	0.00023994755	0.33381844	211.54655	8.027648	0.96516424	0.102876686	1.101883	41.642284	TARA_098_d5
-21.25	-104.75	5.140361	2011-04-01	0.143467	6.1027004e-06	0.05961906	3.918161	219.81816	8.037279	1.4132688	0.4469396	0.8458902	40.650017	TARA_099_d5
-13.25	-96.25	180.5499	2011-04-01	0.047592506	0.00017677821	13.767667	0.008299224	149.32225	7.903383	0.11178838	1.253034	6.8931594	41.13034	TARA_100_d177
-13.25	-96.25	5.140361	2011-04-01	0.19695221	1.5602292e-05	3.7837963	9.119215	211.95068	8.029998	1.6428856	0.6195702	0.585333	41.13034	TARA_100_d5
-13.25	-96.25	47.21189	2011-04-01	0.15856333	9.155864e-06	2.1925375	2.5827534	234.67047	8.049634	1.0285501	0.6104157	0.96480805	41.13034	TARA_100_d50
-5.25	-85.25	41.18002	2011-05-01	0.29938743	6.927982e-05	9.502084	8.696509	197.5191	7.9190884	1.2596931	1.0853237	2.3759818	45.44386	TARA_102_d40
-5.25	-85.25	457.6256	2011-05-01	0.002895242	0.0005161379	22.421558	0.0	1.0001552	7.528106	0.01278869	3.0372396	44.869053	45.44386	TARA_102_d480
-5.25	-85.25	5.140361	2011-05-01	0.21925676	2.590754e-05	3.2120159	12.3499155	211.6169	7.983496	1.6110643	0.57053393	1.0273075	45.44386	TARA_102_d5
0.0	-84.5	370.6885	2011-05-01	0.003019639	0.0006255783	34.955387	0.0	1.728583	7.548698	0.012861516	2.8403497	40.301327	44.097645	TARA_106_d380
0.0	-84.5	41.18002	2011-05-01	0.49905038	0.00012479274	9.805947	10.561587	176.2754	7.9430223	1.5747305	0.97097546	5.392634	44.097645	TARA_106_d40
0.0	-84.5	5.140361	2011-05-01	0.39961478	0.00011651504	2.8244464	28.816877	214.26704	7.993288	2.3354735	0.5009391	1.6337972	44.097645	TARA_106_d5
0.0	-84.5	47.21189	2011-05-01	0.58104074	0.00014840966	10.723967	9.2107525	169.08543	7.937306	1.6323605	1.0158391	5.990189	44.097645	TARA_106_d50
1.75	-84.5	30.87456	2011-05-01	0.22380142	2.9599169e-05	4.0203505	9.222848	211.35287	7.9661117	1.2958313	0.6054395	2.4260304	43.702328	TARA_109_d30
1.75	-84.5	370.6885	2011-05-01	0.0032081867	0.00060229684	30.881748	0.0	1.4248325	7.5442395	0.013092951	2.8617692	40.182575	43.702328	TARA_109_d380
1.75	-84.5	41.18002	2011-05-01	0.26259714	5.0024755e-05	6.5889277	8.02076	202.1827	7.956639	1.1728554	0.78920096	3.7815192	43.702328	TARA_109_d40
1.75	-84.5	5.140361	2011-05-01	0.23638421	3.241672e-05	1.8405035	15.920732	211.63731	7.9931984	1.7258219	0.42544445	1.2519711	43.702328	TARA_109_d5
-2.0	-84.5	370.6885	2011-06-01	0.0031371561	0.000593985	32.201366	0.0	1.1736846	7.5426846	0.01298589	2.9008608	41.609474	47.152412	TARA_110_d380
-2.0	-84.5	5.140361	2011-06-01	0.33917725	7.898131e-05	5.8766656	19.410698	215.3442	7.975795	1.8843769	0.7433485	2.408663	47.152412	TARA_110_d5
-2.0	-84.5	47.21189	2011-06-01	0.49445924	0.00017720579	11.041086	6.9037657	164.4792	7.9334683	1.3465644	1.0470575	5.373351	47.152412	TARA_110_d50
-17.0	-100.75	333.8628	2011-06-01	0.006499077	0.00038983248	24.08455	0.0	141.14099	7.8254466	0.016994467	1.7878728	15.370048	38.029728	TARA_111_d350
-17.0	-100.75	5.140361	2011-06-01	0.13665804	5.2176406e-06	1.570682	2.910296	222.87473	8.0615	1.2305566	0.5864945	0.84496444	38.029728	TARA_111_d5
-17.0	-100.75	86.92943	2011-06-01	0.15389062	9.929646e-06	2.26142	0.8638557	231.54414	8.054896	0.6810624	0.56932366	0.97770077	38.029728	TARA_111_d90
-23.25	-129.5	147.4062	2011-06-01	0.16354752	2.4738607e-05	0.03225065	0.527789	222.94499	8.092414	0.62733966	0.059319057	1.1410853	37.65451	TARA_112_d155
-23.25	-129.5	163.1645	2011-06-01	0.19042887	3.4578898e-05	0.24871106	0.41628766	220.94359	8.087967	0.58170706	0.07722679	1.1367881	37.65451	TARA_112_d165
-23.25	-129.5	163.1645	2011-06-01	0.19042887	3.4578898e-05	0.24871106	0.41628766	220.94359	8.087967	0.58170706	0.07722679	1.1367881	37.65451	TARA_112_d170
-23.25	-129.5	5.140361	2011-06-01	0.042413816	4.968616e-05	0.00046018054	0.2633946	212.3032	8.064791	0.6765508	0.09446535	1.1108454	37.65451	TARA_112_d5
-23.25	-129.5	697.2587	2011-06-01	0.0027806382	0.0005373403	31.570843	0.0	175.75732	7.831823	0.012729853	2.205796	23.985577	37.65451	TARA_112_d696
-23.0	-135.0	5.140361	2011-07-01	0.04898461	0.0001419117	0.00049950456	0.2945184	214.92624	8.082025	0.62785834	0.10192584	1.1031376	35.889336	TARA_113_d5
-23.25	-135.0	5.140361	2011-07-01	0.050833017	0.00011236376	0.00053449924	0.28229615	215.21625	8.082766	0.62379825	0.09673812	1.1059382	35.79861	TARA_114_d5
-23.25	-135.0	5.140361	2011-07-01	0.050833017	0.00011236376	0.00053449924	0.28229615	215.21625	8.082766	0.62379825	0.09673812	1.1059382	35.79861	TARA_115_d5
-23.25	-135.0	5.140361	2011-07-01	0.050833017	0.00011236376	0.00053449924	0.28229615	215.21625	8.082766	0.62379825	0.09673812	1.1059382	35.79861	TARA_116_d5
-23.25	-135.0	5.140361	2011-07-01	0.050833017	0.00011236376	0.00053449924	0.28229615	215.21625	8.082766	0.62379825	0.09673812	1.1059382	35.79861	TARA_117_d5
-23.25	-135.0	5.140361	2011-07-01	0.050833017	0.00011236376	0.00053449924	0.28229615	215.21625	8.082766	0.62379825	0.09673812	1.1059382	35.79861	TARA_118_d5
-23.0	-135.0	5.140361	2011-07-01	0.04898461	0.0001419117	0.00049950456	0.2945184	214.92624	8.082025	0.62785834	0.10192584	1.1031376	35.889336	TARA_119_d5
-23.0	-135.0	5.140361	2011-07-01	0.04898461	0.0001419117	0.00049950456	0.2945184	214.92624	8.082025	0.62785834	0.10192584	1.1031376	35.889336	TARA_120_d5
-23.0	-135.0	5.140361	2011-07-01	0.04898461	0.0001419117	0.00049950456	0.2945184	214.92624	8.082025	0.62785834	0.10192584	1.1031376	35.889336	TARA_121_d5
-9.0	-139.25	120.0	2011-08-01	0.22822562	3.113696e-05	4.959205	0.6593608	185.86537	8.001851	0.5990023	0.6884332	1.4392118	41.581673	TARA_122_d115
-9.0	-139.25	5.140361	2011-08-01	0.1737702	1.2340289e-05	3.350414	6.702784	207.93181	8.021544	1.3213636	0.5663406	1.8768468	41.581673	TARA_122_d5
-9.0	-139.25	628.026	2011-08-01	0.00277417	0.00065039075	37.310925	0.0	92.628174	7.721174	0.012714956	2.639305	49.584064	41.581673	TARA_122_d600
-9.0	-140.25	147.4062	2011-08-01	0.0966434	6.9220834e-05	5.3257256	0.050578028	179.76985	7.9920244	0.25017798	0.74304616	1.3038393	41.492443	TARA_123_d150
-9.0	-140.25	5.140361	2011-08-01	0.24517949	4.0219074e-05	3.2681873	11.916663	208.23419	8.022165	1.4829086	0.5610113	1.8439777	41.492443	TARA_123_d5
-9.0	-140.5	120.0	2011-08-01	0.19903544	3.6063517e-05	4.0098567	0.4500813	186.89209	8.015717	0.5189743	0.62750995	1.3520322	41.504017	TARA_124_d120
-9.0	-140.5	5.140361	2011-08-01	0.21572891	2.4274746e-05	3.2738492	9.5352	208.04239	8.022021	1.4011766	0.5610624	1.8387363	41.504017	TARA_124_d5
-9.0	-142.5	133.0758	2011-08-01	0.18723255	2.1981334e-05	3.1096342	0.3440909	190.85838	8.0292845	0.4956235	0.5767704	1.1046351	41.37301	TARA_125_d140
-9.0	-142.5	5.140361	2011-08-01	0.16993761	1.1326517e-05	3.2184217	6.712032	207.23524	8.023108	1.3409493	0.55476576	1.9124929	41.37301	TARA_125_d5
-12.0	-151.25	5.140361	2011-09-01	0.14142573	5.7719585e-06	1.9630893	5.1159024	207.0919	8.048053	1.4139563	0.45268342	1.7306736	38.72583	TARA_126_d5
-6.5	-152.5	97.04131	2011-09-01	0.21669607	2.8853083e-05	4.74701	1.788523	197.28365	7.9903007	0.7368773	0.6564839	2.2987733	44.04499	TARA_127_d100
-6.5	-152.5	5.140361	2011-09-01	0.19041754	1.806839e-05	4.0067477	8.778391	207.93988	8.001122	1.3962396	0.6156154	2.3925536	44.04499	TARA_127_d5
